"title","director","release_year","runtime","subtitle","description","genres","female_protagonist","lgbtq_protagonist","white_protagonist","political/social_or_moral_topic","experimental","cast","watched","avg_rating","X0.5","X1","X1.5","X2","X2.5","X3","X3.5","X4","X4.5","X5","fans","liked","total_ratings","polarization"
"Mara","Clive Tonge",2018,100,"If you see her, you’re already dead.","Criminal psychologist Kate Fuller is assigned to the murder of a man who has seemingly been strangled in his sleep by his wife and the only witness is their eight-year-old daughter, Sophie. As Kate digs into the mystery of an ancient demon which kills people in their sleep, she experiences the same petrifying symptoms as all previous victims and spirals through a chilling nightmare to save herself and Sophie before she dares fall asleep again.","Crime---Thriller---Horror","Yes","Unknown","Yes","No","No","Olga Kurylenko---Javier Botet---Mitch Eakins---Lance E. Nichols---Rosie Fellner---Mackenzie Imsand---Dandy Barrett---Craig Conway---Melissa Bolona---Kathy McGraw---Jacob Grodnik---BettyLynn Allison---Montré Everett---Gia Skova---Charles Lawlor",11816,2.3,512,1007,988,2047,1371,1571,530,443,61,210,13,921,8740,2.04599954458144
"Kamen Rider: THE NEXT","Ryuta Tasaki",2007,93,"Surpass everything.","Bent on the destruction of the human race, the secret underground organization Shocker secretly planned to plunge the world into chaos. But they didn’t count on the revolt of both of their experimentally “reconstructed” human beings, the Kamen Riders. Two years after their first battle with Shocker, a 3rd Rider arises to confront them, known only as “Version 3.” The arrival of the third Kamen Rider will hurl the heroes into their most terrible battle yet and the fate of the world hangs in the balance. ×","Science Fiction---Action---Horror---Adventure","No","Unknown","No","No","No","Masaya Kikawada---Hassei Takano---Kazuki Kato---Miku Ishida---Erika Mori---Rie Mashiko---Tomorowo Taguchi---Shinji Rokkaku---Kyūsaku Shimada---Yousuke Saito",839,3.1,17,25,23,59,86,141,113,70,8,20,1,199,562,2.00709565966049
"The Crazies","George A. Romero",1973,103,"Why are the good people dying?","Citizens of a small town are infected by a biological weapon that causes its victims to become violently insane. As uninfected citizens struggle to survive, the military readies its own response.","Horror---Science Fiction---Action---Thriller","Yes","Unknown","Yes","Biological warfare and government/military response","No","Lane Carroll---Will MacMillan---Harold Wayne Jones---Lynn Lowry---Lloyd Hollar---Richard Liberty---Richard France---Harry Spillman---Bill Thunhurst---Stephen Liska---S. William Hinzman---Will Disney---Edith Bell---Leland Starnes---A.C. McDonald---Ross Harris",38225,3.2,97,392,547,2121,3185,8107,5853,4379,781,723,16,7725,26185,1.82511873785222
"Bicycle Thieves","Vittorio De Sica",1948,89,"The Prize Picture They Want to Censor!","Unemployed Antonio is elated when he finally finds work hanging posters around war-torn Rome. However on his first day, his bicycle—essential to his work—gets stolen. His job is doomed unless he can find the thief. With the help of his son, Antonio combs the city, becoming desperate for justice.","","No","No","Yes","Poverty and post-war economic hardship","No","Lamberto Maggiorani---Enzo Staiola---Lianella Carell---Gino Saltamerenda---Vittorio Antonucci---Giulio Chiari---Elena Altieri---Carlo Jachino---Michele Sakara---Emma Druetti---Eolo Capritti---Fausto Guerzoni---Giulio Battiferri---Sergio Leone---Mario Meniconi---Checco Rissone---Peppino Spadaro---Nando Bruno---Memmo Carotenuto---Umberto Spadaro---Piero Heliczer---Massimo Randisi",341735,4.3,210,549,513,2366,3161,14847,24142,69295,45872,64010,3800,107365,224965,1.60639598386256
"The Long Weekend (O’ Despair)","Gregg Araki",1989,87,"alienated, cynical, and just plain bored…","The film follows three couples, one gay, one lesbian and one heterosexual, spending a weekend together.","Romance---Drama","Yes","Yes","Unknown","LGBTQ+ relationships","Yes","Bretton Vail---Maureen Dondanville---Andrea Beane---Nicole Dillenberg---Marcus D'Amico---Lance Woods",1067,3.4,5,17,9,39,62,183,148,143,28,35,2,405,669,1.87933092600226
"Evil Judgment","Claudio Castravelli",1984,93,"","A girl starts her own investigation after the police fail to catch a local serial killer.","Horror---Drama---Thriller---Crime---Mystery","Yes","Unknown","Yes","Police coverup and investigatory incompetence","No","Pamela Collyer---Jack Langedijk---Walter Massey---Nanette Workman---Roland Nincheri---Suzanne DeLaurentiis---Sam Stone---Septimiu Sever---Jérôme Tiberghien---Richard Zeman",897,2.9,6,18,24,111,201,273,92,26,2,4,NA,192,757,1.65339890704437
"Story of a Cloistered Nun","Domenico Paolella",1973,97,"This is her incredible story…","Refusing an arranged marriage, young aristocrat Carmela is sent to a convent. Her arrival intensifies the power struggle between the debauched nun Elizabeth and the stern Mother Superior, as both are smitten by Carmela’s beauty.","","Yes","No","Yes","Religious repression and sexual exploitation","No","Catherine Spaak---Suzy Kendall---Eleonora Giorgi---Martine Brochard---Umberto Orsini---Tino Carraro---Konrad Georg---Ann Odessa---Isabelle Marchall---Giuliana Calandra---Clara Colosimo---Antonio Falsi---Carla Mancini---Caterina Boratto---Barbara Herrera---Paola Senatore",916,3.2,3,11,9,42,81,222,172,110,17,8,NA,197,675,1.73101396529282
"Mind Game","Masaaki Yuasa",2004,103,"This Story Has Never Ended.","Nishi is a loser who has a crush on his childhood girlfriend. After an encounter with the Japanese mafia, he journeys to heaven and back, and ends up trapped in an even more unlikely place.","Animation---Drama---Comedy---Romance---Fantasy","No","Unknown","No","No","Yes","Koji Imada---Sayaka Maeda---Takashi Fujii---Seiko Takuma---Tomomitsu Yamaguchi---Toshio Sakata---Jôji Shimaki---Rintaro Nishi---Kenichi Chujou",64365,4.2,151,287,288,794,1115,3438,5822,13176,8984,12955,2500,27419,47010,1.71637439194216
"State Property","Abdul Malik Abbott",2002,88,"","A Philadelphia gang member becomes a drug kingpin and starts a feud with vicious rivals in his quest for the American Dream.","Drama---Crime---Action","No","No","No","Crime and the American Dream","No","Beanie Sigel---Omillio Sparks---Memphis Bleek---Damon Dash---Sundy Carter---Jay-Z---Tyran ""Ty Ty"" Smith---Oschino---Brother Newz---Randolph Curtis Rand---Nicole Madeo---Leslie Pilgrim---Kyndra Monet---Pain in da Ass---Dee Lee---Rell---Leah Leatherbury---Reb---Rashie Constantine---Stephen 'X' Baker---Willie Esco---Cousin Ervan---Andrea Videla---Constanza Casas---James 'Murda' Smith---Robert John Burke---Burt Bazin---Christina Morales---Larry 'Tron' Quartes---Tatiana Vujoshevich---Devin 'DeMarco' Ramos---Walter 'DeMiggs' Patterson---Garvin Stewart---Gee Roberson---Chris Eric Williams---Big Skane---Bobby Dash---Jennifer Cordero---Derren Fuentes---Tim House---DJ Clue---Oria Rodriguez---Arda Henderson---Young Neef---Jacob Arabo---Big Shon---Greg 'M&M' Wetts---Jennifer Pan---Amil---Richard Bravo---Dave Sierra---Raouf Simmons---Kevin Nunan---Giovanni Laws---J. Diamond---Frank Minerva---Slice---Lenny S.---Denyce Lawton",1394,2.8,58,79,69,167,124,201,75,65,10,53,4,287,901,2.12001170099464
"Scipio Africanus: The Defeat of Hannibal","Carmine Gallone",1937,83,"Facist Italy’s 1937 Spectacular Epic","A story of the Second Punic Wars, beginning with Scipio’s futile pleas to the Roman Senate to build an army to battle Hannibal, that climaxes with the battle of Zama.","History---Drama---War","No","No","Yes","Fascist propaganda","No","Camillo Pilotto---Annibale Ninchi---Fosco Giachetti---Francesca Braggiotti---Marcello Giorda---Guglielmo Barnabò---Isa Miranda---Memo Benassi---Franco Coop---Ciro Galvani---Carlo Lombardi---Marcello Spada---Piero Carnabuci---Carlo Ninchi---Lamberto Picasso---Diana Lante---Raimondo Van Riel---Achille Majeroni---Carlo Tamberlani---Gino Viotti---Clara Padoa---Ugo Sasso---Mario Gallina---Olinto Cristina---Carlo Duse---Franco Brambilla---Antonella Steni---Enzo Biliotti---Bruno Calabretta---Alberto Campi---Gustavo Conforti---Giorgio Covi---Federico De Martino---Cesare Gambarelli---Walter Lazzaro---Guglielmo Longo---Giorgio Marcello---Otello Polini---Albino Principe---Gennaro Sabatano---Carlo Simoneschi---Ernesto Torrini---Vittorio Vaser---Amedeo Vecci---Franca Vella---Carla Zaccaria---Armando Zuccarelli---Rosina Adrario---Nino Altieri---Ruggero Angeletti---Sandro Bianchi---Antimo Reyner---Alberto Sordi---Alfredo De Antoni---Fernando Solieri---Mario Carotenuto---Vittorio Capanni---Alberto De Martino",372,3,8,26,27,53,35,41,9,8,0,1,NA,20,208,1.90550298576455
"The Bodyguard","Sammo Hung Kam-Bo",2016,99,"","A retired bodyguard who has settled into a corner of the world where China, Russia and North Korea meet as he suffers from early dementia finds a new friend in a young girl. When her life is threatened by her father’s connection with a local crime lord, .the bodyguard must call upon his long forgotten skills to save her.","Drama---Action---Crime","No","No","No","Dementia","No","Sammo Hung Kam-Bo---Andy Lau---Zhu Yuchen---Li Qinqin---Feng Jiayi---Jacqueline Chan---Eddie Peng Yu-Yan---William Feng---Hu Jun---Song Jia---Tsui Hark---Karl Maka---Dean Shek Tin---Yuen Biao---Yuen Qiu---Yuen Wah---Yuen Bo---Du Yiheng---Mou Xing---Tomer Oz---Lai Xi---Jonathan Kos-Read---Yu Ailei---James Lee Guy---Deng Chao---Wang Xuebing---Tian Liang---Ng Ming-Choi---Li Guangbin---Zhang Gui-Bo---Shi Zhan-Biao---Liu Qing-Xiang---Xu Chong---Yan Feng-Min---Maksim Khabarov---Sergio De Ieso---Georgiy Gromov---Sadig Hasanov---Karen Avetyan---Massimiliano Zago---Li Ming Hui---Dong Li Mei---Zhang Lin---Lu Jie---Lv Ran---Du Zhao---Sun Zhen Dong---Cao Chun Xia---Huang Da Xin---Li Mu Ran---Shi Shang---Liu Xiyuan",1892,2.9,19,35,58,180,237,421,245,131,27,16,1,294,1369,1.881948131484
"The Maids","Christopher Miles",1975,95,"Sisters. Servants. Sinners.","A film version of Genet’s play. Two maids, Solange and Claire, hate their employers and, while they are out, take turns at dressing up as Madame and insulting her.","","Yes","Unknown","Yes","Class confrontation","No","Glenda Jackson---Susannah York---Vivien Merchant---Mark Burns",1148,3.3,4,14,22,54,86,194,158,150,31,42,1,254,755,1.93021518034416
"Ağır Romantik","Deniz Denizciler",2020,97,"","After crossing paths unexpectedly, Aslı and Kerem fall in love but clashing family backgrounds threaten to stand in their way.","Romance---Comedy---Drama","Yes","No","Yes","No","No","Onur Tuna---Tuvana Türkay---Altan Erkekli---Durul Bazan---Sermiyan Midyat---Semra Dinçer---Gazanfer Ündüz---Servet Pandur---Samet Denizdurduran---Funda Dönmez---Ali Rıza Tanyeli---Mustafa Dok",626,2.5,128,59,16,34,19,30,9,4,0,5,NA,21,304,1.71294904804557
"Because I Said So","Michael Lehmann",2007,102,"She’s just your normal, overprotective, overbearing, over-the-top mother.","In an effort to prevent family history from repeating itself, meddlesome mom Daphne Wilder attempts to set up her youngest daughter, Milly, with Mr. Right. Meanwhile, her other daughters try to keep their mom’s good intentions under control.","Comedy---Romance","Yes","No","Yes","No","No","Diane Keaton---Mandy Moore---Gabriel Macht---Tom Everett Scott---Lauren Graham---Piper Perabo---Stephen Collins---Ty Panitz---Matt Champagne---Colin Ferguson---Tony Hale---Curt Clendenin---John Ross Bowie---Parvesh Cheena---Mary Pat Gleason---Willam Belli---P.J. Byrne---Zachary Gordon---Sophina Brown---Emily Maisano---Gerald Downey",45963,2.6,854,1753,1568,3924,3394,5319,2351,2363,411,1248,72,5239,23185,2.11228207058227
"The Biscuit Eater","Vincent McEveety",1972,92,"","Nothing warms the heart like the story of a boy and his dog. Lonnie (Johnny Whitaker) and Text (George Spell) are two friends determined, against all odds, to turn a misfit hound into a hero. Tennessee farmer and dog trainer Harve McNeil (Earl Holliman) tells his son Lonnie that his dog, Moreover, is a good-for-nothing “biscuit eater.”","Drama---Family","No","No","Yes","Racial friendship and cooperation","No","Earl Holliman---Johnny Whitaker---Pat Crowley---Lew Ayres---Godfrey Cambridge---Beah Richards---Clifton James---George Spell",684,3,13,39,27,88,77,97,31,24,7,15,3,77,418,2.02972668939766
"Scream Queens: Horror Heroines Exposed","Calum Waddell",2014,80,"","Directed by UK-horror scene stalwart Calum Waddell and hosted by scream queen Debbie Rochon (Terror Firmer, Tromeo and Juliet) Scream Queens: Horror Heroines Exposed features, in a change of pace for horror documentaries, especially those focusing on females in the genre, an all-female line-up, discussing horror movies from their perspective – exploring the challenges of being an actress in a genre predominantly made by and for men, from how they came about to be defined as a “scream queen”, about the vagaries of the genre: nudity, violence, misogyny, etc., and about how they feel about the genre and the label ×","","Yes","Unknown","Unknown","Horror movies from female perspective","No","Debbie Rochon---Michelle Bauer---Linnea Quigley---Lynn Lowry---Cassandra Peterson---Adrienne King---Jane March---Brinke Stevens---Melanie Kinnaman---Jennifer Lim---Catriona MacColl---Patricia Tallman---Emily Booth---Caroline Munro---Sybil Danning---Danielle Harris---Forbes Riley---Lisa Wilcox---Christa Campbell---Irina Voronina",439,3.2,5,8,5,24,47,98,42,35,15,32,8,71,311,1.97056281056388
"Sheep & Wolves","Maksim Volkov",2016,85,"You can be whatever you want. The main thing is you remain yourself!","In a magical faraway land, in a picturesque little village nestled among green meadows and rolling hills, lives a flock of carefree sheep. But their pastoral and stress-free life is interrupted when a pack of wolves sets up camp in the nearby ravine.","Adventure---Animation---Romance---Comedy---Fantasy---Family","No","No","Unknown","Responsibility and unity","No","Alexander Petrov---Elizaveta Boyarskaya---Sergei Bezrukov---Nikita Prozorovsky---Andrew Barkhudarov---Yuri Tarasov---Andrey Rozhkov---Tatyana Shitova---Diomid Vinogradov---Ekaterina Ivanchikova---Dmitry Filimonov---Yuriy Galtsev---Irina Vilenkina---Denis Vilenkin---Yury Menshagin---Oleg Morozov---Ekaterina Semenova",1692,2.5,115,139,117,197,154,170,55,53,6,37,NA,134,1043,2.10471330288269
"Kung Fu Panda: Secrets of the Furious Five","Raman Hui Shing-Ngai",2008,25,"","Ordered to teach a martial arts class of rambunctious bunny kittens, Po tells stories of each of the Furious Five’s pasts.","Action---Animation---Family","No","Unknown","No","Excellence of self (philosophical/moral)","No","Jack Black---Dustin Hoffman---David Cross---Randall Duk Kim---Elizabeth Ann Bennett---Jaycee Chan---Jim Cummings---Jessica DiCicco---James Sie---Carol Kane---Tara Strong---John DiMaggio---Max Koch---Stephanie Lemelin---Meredith Scott Lynn---Will Shadley---Tom Owens---Eamon Pirruccello---Grace Rolek",20240,3.3,30,118,143,597,872,2865,1631,1243,218,807,7,2566,8524,1.84773440491208
"The Age of Innocence","Martin Scorsese",1993,139,"In a world of tradition. In an age of innocence. They dared to break the rules.","In 19th century New York high society, a young lawyer falls in love with a woman separated from her husband, while he is engaged to the woman’s cousin.","Romance---Drama","No","No","Yes","Social conformity and repression","No","Daniel Day-Lewis---Michelle Pfeiffer---Winona Ryder---Alexis Smith---Geraldine Chaplin---Jonathan Pryce---Richard E. Grant---Alec McCowen---Mary Beth Hurt---Stuart Wilson---Howard Erskine---John McLoughlin---Christopher Nilsson---Miriam Margolyes---Siân Phillips---Carolyn Farina---Michael Gough---Joanne Woodward---Robert Sean Leonard---June Squibb---Thomas Gibson---Tracey Ellis---Norman Lloyd---W.B. Brydon---Cristina Pronzati---Clement Fowler---Cindy Katz---Kevin Sanders---Domenica Cameron-Scorsese---Mac Orange---Brian Davies---Thomas Barbour---Henry Fehren---Patricia Dunnock---Kevin Ash---Susan Lynn Bragg---Pasquale Cajano---Tanya Carrasco---Tamasin Day-Lewis---John Maczko---Catherine Scorsese---Charles Scorsese---Martin Scorsese---Michael Trout",175367,3.8,292,785,814,3968,5367,19276,23633,34379,14687,14455,1200,44035,117656,1.83349160469817
"Isi & Disi: alto voltaje","Miguel Ángel Lamata",2006,90,"","Isi and Disi, the more thugs Leganés heavys return. This time Disi falls in love for the sexy Angie, former rock singer and girlfriend of a big shot record, Berdún. After being recognized as the most brutal band in the equally brutal contest presented by Angie, Disi not only have to save his group Ratamuerta, his friendship with Isi, and the temple of rock “The Kampana of Hell”, but also rescue Angie from the clutches of machiavellian Berdún. Once again, rock triumph over evil … ×","Comedy---Adventure---Music","No","Unknown","Yes","No","No","Santiago Segura---Florentino Fernández---Kira Miró---El Gran Wyoming---Miguel Ángel Rodríguez 'El Sevilla'---Pilar Rubio---Jaime Ordóñez---Ruth Zanon---Miguel Ángel Aijón---Mayte Navales---Pedro Rebollo---Juan Pablo López---Samuel Miró---Loreto Fajardo---Arévalo---Germán Burgos---José Luis Coll---Tito Fuentes---Francisco Ayala---Miky Huidobro---Randy Ebright---Miguel Campos---Ricardo Joven---Roberto Marchetti---Ramón G. del Pomar---Zaida Serrano---Paula Pomarón---Diego Carvajal---Juan Ramón Lucas---Ruth Arteaga---Cecilia Gessa---Lucía Lapiedra---Lupe Fuentes---Paco Collado---Fernando Chinarro---Raúl Sanz---Juan Miguel Fernández---Ana Rosa Quintana---Andreu Castro---Torbe---Miguel Ángel Aparicio---Esteban Oliver---Jinson Añazco---Braulio Dorado---Israel Gutiérrez Ríos---Miguel Lagos---Jorge Rodero---Manuel Granda Terrón---María Dolores Márquez---Leopoldo Megino Samper---Andrés Moya Corral---Manuela Sánchez Solís---Félix Terzagui Rivas---Roberto Montañés---José Manuel Tafalla---Guillermo Mata---Eduardo Tomas---Oscar Algarabel---Iñaki Villuendas---Ricardo Vicente Lorenzo---Samuel Zapatero---Samuel Tejero---Luis Alberto Rodríguez---Antonio José Romero---Jesús Rafael Vidal---Danilo---Cristina Rodríguez Torres---Ruth Sabucedo---Rosa Sáez---Lur Usabiaga---Juan Hervella-Rego---Eva Ángeles Oltra Marín---Alex G. Robles---Juan Carlos Serrato---Leonardo Dantés---Jesús Pérez Teira---Emma Hidalgo---Carolina Camargo Panciera---Boxy Conde---Elio Godino---Nacho Serapio---Yolanda Brown",1152,2.8,59,110,65,117,100,90,32,20,1,13,NA,88,607,2.03324131613633
"I Don’t Know","Penelope Spheeris",1971,20,"","A truly major work, I Don’t Know observes the relationship between a lesbian and a transgender person who prefers to be identified somewhere in between male and female, in an expression of personal ambiguity suggested by the film’s title. This nonfiction film – an unusual, partly staged work of semi-verité – is the first of Spheeris’s films to fully embrace what would become her characteristic documentary style: probing, intimate, uncompromising. Preserved by the Academy Film Archive in 2014. ×","Documentary---Drama","Yes","Yes","Yes","LGBTQ+ identity and relationships","Yes","Jimmie Michaels---Dana Reuben---Andy Spheeris---Linda Spheeris",1624,3.7,2,2,3,10,20,95,136,269,95,138,7,693,770,1.70183861157752
"A Traveler’s Needs","Hong Sang-soo",2024,90,"When paths cross, souls discover each other.","Iris, a woman abroad in Seoul, teaches French and English in an idiosyncratic fashion that allows her to pursue her own philosophical and personal interests. Through four encounters over a single day, Iris probes students and strangers for information about poetry, their own histories, and their relationship to their egos.","","Yes","Unknown","Yes","No","No","Isabelle Huppert---Lee Hye-young---Kwon Hae-hyo---Cho Yun-hee---Ha Seong-guk---Kim Seung-yun---Kang So-yi---Ha Jin-hwa",15591,3.5,81,176,149,547,739,2213,2865,3159,756,582,38,4701,11267,1.84194210937068
"Cybernetic Grandma","Jiří Trnka",1963,29,"","Trnka’s sci-fi vision of the future in which machines and robots try to substitute themselves into the most beautiful human relationships. A cybernetic robot is supposed to substitute for the loving grandmother of a little girl. The wise grandmother, however, comes back and the girl finds the warmth of her grandmother’s loving arms again. Trnka’s artistic ideas in this film can be described as both poetically fragile and dramatically cautionary.","Science Fiction---Animation","Yes","Unknown","Unknown","Artificial intelligence and technology's impact on human relationships","Yes","Otýlie Beníšková---Jana Werichová",1265,3.7,2,3,4,13,18,117,183,246,73,98,3,406,757,1.71133079867528
"Doraemon: Nobita and the Animal Planet","Tsutomu Shibayama",1990,100,"","A mysterious pink fog takes Nobita, Doraemon, Shizuka, Suneo, and Gian to a planet populated by animals. Legend says that the ancestors of this population used to live on the moon, but were transported out of there to escape from the voracious creatures that lived there too.","Fantasy---Animation---Family---Adventure","No","No","Unknown","Environmental protection","No","Nobuyo Oyama---Noriko Ohara---Michiko Nomura---Kaneta Kimotsuki---Kazuya Tatekabe",2519,3.3,3,7,11,60,119,393,260,207,44,111,NA,296,1215,1.79855712260886
"Melody of the World","Walter Ruttmann",1929,49,"","An impression of the state of the world in 1929, contrasting similarities and differences in religion, customs, art and entertainment from all over the world. The film is constructed like a symphony.","","No","No","Unknown","Cultural diversity and human activities","Yes","Ivan Koval-Samborskyi---Renée Stobrawa---Grace Chiang---O. Idris---Heinrich Mutzenbecher---Ivor Montagu---George Bernard Shaw",375,3.5,0,1,2,14,19,56,47,36,17,10,NA,50,202,1.83870715727866
"Dead Heat","Mark Goldblatt",1988,84,"You can’t keep a good cop dead.","Detective Roger Mortis is killed in action while investigating a string of mysterious robberies: until he’s brought back from the dead with a chemical company’s secret re-animation technology. Now he has twelve hours to solve the case of his own death before he dies: And stays dead.","Action---Thriller---Horror---Science Fiction---Comedy","Yes","Unknown","Yes","Resurrection and ethics of reanimation","No","Treat Williams---Joe Piscopo---Lindsay Frost---Darren McGavin---Vincent Price---Robert Picardo---Martha Quinn---Keye Luke---Clare Kirkconnell---Mel Stewart---Shane Black---Pons Maar---Professor Toru Tanaka---Tom Nolan---Lew Hopson---Chip Heller---Monica Lewis---Peter Kent---Ben Mittleman---Cate Caplin---Peggy O'Brien---Steven R. Bannister---Steve Itkin---Michael Saad---Monty Cox---Monty Ash---H. Ray Huff---Dawan Scott---Ivan E. Roth---Ron Taylor---Clarence Brown---Yvonne Peattie---Pamela Vansant---Beth Toussaint---Linnea Quigley---Peter Kent---Loren Janes---Gene LeBell---Michael Lindström",18551,3.1,93,299,423,1242,1619,3951,2876,2087,321,436,18,4720,13347,1.88859171341575
"Darkon","Luke Meyer",2006,93,"","Darkon is an award-winning feature-length documentary film that follows the real-life adventures of the Darkon Wargaming Club in Baltimore, Maryland, a group of fantasy live-action role-playing (LARP) gamers.","Documentary---Fantasy","No","Unknown","Yes","No","No","Skip Lipman---Kenyon Wells---Daniel McArthur---Rebecca Thurmond---James Iddings---Gary Black---Domenic Prince---Andrew Mattingly---Frank Kanach---Leah Kanach",1143,3.5,2,5,4,33,64,215,175,171,34,38,2,181,741,1.75994981587132
"Rams","Grímur Hákonarson",2015,93,"This winter get sheepish.","In a secluded valley in Iceland, Gummi and Kiddi live side by side, tending to their sheep. Their ancestral sheep-stock is considered one of the country’s best and the two brothers are repeatedly awarded for their prized rams who carry an ancient lineage. Although they share the land and a way of life, Gummi and Kiddi have not spoken to each other in four decades. When a lethal disease suddenly infects Kiddi’s sheep, the entire valley comes under threat. The authorities decide to cull all the animals in the area to contain the outbreak. But Gummi and Kiddi don’t give up so easily – and each brother tries to stave off the disaster in his own fashion: Kiddi by using his rifle and Gummi by using his wits. ×","","No","Unknown","Yes","Rural life and agricultural disease impact","No","Sigurður Sigurjónsson---Theodór Júlíusson---Charlotte Bøving---Jón Benónýsson---Gunnar Jónsson---Sveinn Ólafur Gunnarsson---Þorleifur Einarsson---Ingrid Jónsdóttir---Jörundur Ragnarsson---Viktor Már Bjarnason---Ólafur Ólafsson---Jenný Lára Arnórsdóttir---Guðrún Sveinbjörnsdóttir---Sigurlína Tryggvadóttir---Þorsteinn Gunnar Bjarnason---Anna Sæunn Ólafsdóttir---Sigurður Hlynur Snæbjörnsson---Þorgerður Sigurgeirsdóttir---Þorgerður Sigurgeirsdóttir---Hjörtur Hólm Hermannsson---Hörður Þor Benónýsson---Elísabet Gunnarsdóttir---Karl Pálsson---Eydís Helga Pétursdóttir---Broddi Broddason",17366,3.7,10,35,74,245,498,2268,3699,3967,871,629,48,3514,12296,1.63886080609782
"Code Geass: Akito the Exiled 3: The Brightness Falls","Kazuki Akane",2015,60,"","After discovering the face of their true enemy, someone who is related to Akito and responsible for the Geass placed upon him, W-0 attempts to return to their base at Castle Weisswolf. However, stranded in Warsaw due to a complication involving their military identification, they are forced to accept the help of local gypsies, allowing the squad to take some time to deepen their bonds. Meanwhile, Britannian advisor Julius Kingsley and his guard Suzaku Kururugi begin working together with the Knights of St. Michael in order to crush the European resistance once and for all, armed with the destructive power of a giant weapon known as the Ark Fleet. ×","Science Fiction---Animation---Action","No","Unknown","No","Geass and war","No","Miyu Irino---Maaya Sakamoto---Satoshi Hino---Yoshitsugu Matsuoka---Yoko Hikasa---Masaya Matsukaze---Keiji Fujiwara---Ai Kayano---Yuhko Kaida---Showtaro Morikubo---Unsho Ishizuka---Shinji Kawada---Saori Hayami---Nao Toyama---Natsumi Takamori---Asami Seto---Mikako Komatsu---Takayuki Sugo---Fumihiko Tachiki---Takehito Koyasu---Mariya Ise---Takuma Terashima---Taketora---Kaori Ishihara---Mamiko Noto---Shin-ichiro Miki---Naomi Shindo---Sumire Morohoshi---Junko Minagawa---Haruka Kudou---Katsuyuki Konishi---Kohsuke Toriumi---Reiko Suzuki---Maki Izawa---Tomie Kataoka---Yasuko Hatori---Taishi Murata---Makoto Furukawa---Kouichi Souma---Yukana---Takahiro Sakurai---Jun Fukuyama",1907,3.2,13,34,50,92,155,307,187,152,22,63,2,196,1075,1.97952987290352
"The Santa Stakeout","Peter Benson",2021,84,"Christmas goes undercover.","Tanya is a police detective who is reluctantly partnered with fellow detective Ryan to solve a recent string of heists taking place during high-profile holiday parties around town.","TV Movie---Crime---Romance---Comedy","Yes","No","No","No","No","Tamera Mowry-Housley---Paul Campbell---Joe Pantoliano---Peter Bryant---Tom Pickett---Liza Huget---David Kaye---Devon Alexander---Lindsay Winch---Denalda Williams---Jacqueline Samuda---Mark Sweatman---Raf Rogers---Rebecca Staab---Ecstasia Sanders",1262,3,15,40,53,104,110,195,129,104,18,46,NA,178,814,2.07667478882669
"Unidentified Flying Oddball","Russ Mayberry",1979,93,"Chaos in the Cosmos!","A NASA spacecraft proves Einstein right when, traveling faster than light, it ends up near King Arthur’s Camelot. On board are big-hearted Tom Trimble and Hermes, the look-alike robot he built. Tom immediately makes friends with pretty Alisande while becoming enemies with the evil knight Sir Mordred. It seems Mordred has joined up with the Sorcerer Merlin and they are both up to no good. It is now up to Tom to try and use 20th century technology to foil their plans.","Comedy---Science Fiction---Family","No","Unknown","Yes","No","No","Jim Dale---Kenneth More---Ron Moody---John Le Mesurier---Rodney Bewes---Dennis Dugan---Pat Roach---Sheila White---Robert Beatty---Cyril Shaps---Kevin Brennan---Ewen Solon---Reg Lye---Bruce Boa",1578,2.8,28,82,67,187,211,201,70,39,6,20,NA,165,911,1.9619308802195
"Badai Pasti Berlalu","Teguh Karya",1977,115,"","Siska, a young woman was heartbroken after her fiancé broke off their engagement. Unwilling to see his sister depressed, her brother Johnny introduced her to his friend Leo, who is known as a womanizer.","Music---Romance","Yes","No","No","No","No","Christine Hakim---Roy Marten---Slamet Rahardjo---Herman Masduki---Mieke Wijaya---Rachmat Hidayat---Sofia W.D.---Errie Sophiaan---Rita Yunus---George Kamarullah---Maria Oentoe---Rahayu Effendi---Netty Herawaty---Deliana Surawidjaja---Darussalam---Amran Said Mouna---Henky Solaiman",263,3.5,0,2,0,1,8,31,65,70,10,18,2,72,205,1.57541089576113
"Stars at Noon","Claire Denis",2022,138,"A sumptuous tale of romance and espionage.","In present-day Nicaragua, a headstrong American journalist and a mysterious English businessman strike up a romance as they become embroiled in a dangerous labyrinth of lies and conspiracies and are forced to try and escape the country.","Drama---Thriller---Romance","Yes","No","Yes","Authoritarianism/Totalitarianism","Yes","Margaret Qualley---Joe Alwyn---Benny Safdie---Danny Ramirez---Nick Romano---Stephan Proaño---Robin Durán---John C. Reilly---Carlos Serrano---Monica Bartholomew---Carlos Bennett---Sebastian Donoso---Héctor Moreno---Jose Leonel Hernandez---Cristian Pulido---Luís Franco---Steven Garcia---Rogelio Chung---Dayan Rodriguez---Benito Tuñon---Moises Caballero---Bayardo Peralta---Emmanuel Barahona---Alexis Quintero---Carlos Trujilo---Maria Quintero---Luis Barrios---Gustavo Pérez---Miroslava Morales---Elvira ‘Ellie’ Rodríguez---Alejandro Castoverde---Mark Headley",24981,3,436,965,968,2665,2895,4050,3037,2648,673,407,26,4202,18744,2.06411311500787
